Iteration	CPUTime	PhysTime	Travels
717	3124	0	5.08072946
718	3130	0	5.08781555
719	3135	0	5.09490165
720	3140	0	5.10198774
721	3144	0	5.10907383
722	3148	0	5.11615993
723	3154	0	5.12324602
724	3159	0	5.13033212
725	3164	0	5.13741821
726	3169	0	5.1445043
727	3174	0	5.1515904
728	3180	0	5.15867649
729	3185	0	5.16576259
730	3190	0	5.17284868
731	3195	0	5.17993477
732	3200	0	5.18702087
733	3206	0	5.19410696
734	3211	0	5.20119306
735	3216	0	5.20827915
736	3222	0	5.21536525
737	3227	0	5.22245134
738	3232	0	5.22953743
739	3237	0	5.23662353
740	3241	0	5.24370962
741	3246	0	5.25079572
742	3252	0	5.25788181
743	3257	0	5.2649679
744	3263	0	5.272054
745	3268	0	5.27914009
746	3274	0	5.28622619
747	3280	0	5.29331228
748	3285	0	5.30039837
749	3291	0	5.30748447
750	3296	0	5.31457056
751	3301	0	5.32165666
752	3306	0	5.32874275
753	3311	0	5.33582884
754	3315	0	5.34291494
755	3322	0	5.35000103
756	3327	0	5.35708713
757	3332	0	5.36417322
758	3337	0	5.37125931
759	3342	0	5.37834541
760	3346	0	5.3854315
761	3352	0	5.3925176
762	3357	0	5.39960369
763	3363	0	5.40668979
764	3368	0	5.41377588
765	3373	0	5.42086197
766	3378	0	5.42794807
767	3384	0	5.43503416
768	3390	0	5.44212026
769	3394	0	5.44920635
770	3400	0	5.45629244
771	3405	0	5.46337854
772	3410	0	5.47046463
773	3416	0	5.47755073
774	3421	0	5.48463682
775	3426	0	5.49172291
776	3431	0	5.49880901
777	3437	0	5.5058951
778	3442	0	5.5129812
779	3447	0	5.52006729
780	3452	0	5.52715338
781	3456	0	5.53423948
782	3461	0	5.54132557
783	3467	0	5.54841167
784	3471	0	5.55549776
785	3477	0	5.56258386
786	3482	0	5.56966995
787	3487	0	5.57675604
788	3492	0	5.58384214
789	3497	0	5.59092823
790	3503	0	5.59801433
791	3509	0	5.60510042
792	3514	0	5.61218651
793	3520	0	5.61927261
794	3525	0	5.6263587
795	3529	0	5.6334448
796	3535	0	5.64053089
797	3539	0	5.64761698
798	3544	0	5.65470308
799	3549	0	5.66178917
800	3555	0	5.66887527
801	3568	0	5.67596136
